Start Date:,1993-01-01 00:00:00,Unnamed: 2,INR,MXN,CZK,ZAR,TRY,RUB,PLN,HUF,THB,SGD,CNH,EUR,AUD,NZD,CAD,NOK,JPY,CHF,SEK,GBP,RON,ILS,USD
End Date:,2022-10-12 00:00:00,Tenor =>,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Period,d,Ticker,IRSWNI5 BGN Curncy,G0314Z 5Y BLC2 Curncy,CKSW5 Curncy,SASW5   BGN  Curncy,S0164Z 5Y BLC2 Curncy,GTRUB5Y Govt,PZSW5 Curncy,HFSW5 Curncy,TBSWNI5 BGN  Curncy,SDSW5 CMPN Curncy,GTCNY5Y Govt,EUSA5 BGN Curncy,ADSWAP5 BGN Curncy,NDSWAP5 BGN Curncy,CDSW5 CMPN Curncy,NKSW5 CMPL Curncy,JYSW5 Curncy,GTCHF5YR Corp,SKSW5 BGNL Curncy,BPSWS5 Curncy,GTRON5Y Govt,ISSW5 Curncy,USGG5YR Index
CDR,5D,Date,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last,PX Last
Dates,False,1993-01-01 00:00:00,,,,,,,,,,,,,8.75,7.65,8,,4.67,,10.2,,,,5.993
,,1993-01-04 00:00:00,,,,,,,,,,,,,8.69991,7.65,8.04,,4.66,,10.25,,,,5.89
,,1993-01-05 00:00:00,,,,,,,,,,,,,8.75,7.6,7.91,,4.62,,10.25,,,,5.89
,,1993-01-06 00:00:00,,,,,,,,,,,,,8.93001,7.95,7.97,9.25,4.63,,10.25,,,,5.93
,,1993-01-07 00:00:00,,,,,,,,,,,,,8.9,7.9,7.94,9.3,4.62,,10.37,,,,6.037
,,1993-01-08 00:00:00,,,,,,,,,,,,,8.79001,7.75,8.09,9.3,4.65,,10.33,,,,5.959
,,1993-01-11 00:00:00,,,,,,,,,,,,,8.78,7.7,8.08,9.3,4.65,,10.4,,,,5.9
,,1993-01-12 00:00:00,,,,,,,,,,,,,8.81001,7.7,8.1,9.3,4.61,,10.47,,,,5.933
,,1993-01-13 00:00:00,,,,,,,,,,,,,8.83,7.75,8.15,9.3,4.61,,10.4,,,,5.897
,,1993-01-14 00:00:00,,,,,,,,,,,,,8.73992,7.75,8.1,9.3,4.58,,10.28,,,,5.831
,,1993-01-15 00:00:00,,,,,,,,,,,,,8.73,7.65,8.1,9.3,4.58,,10.25,,,,5.786
,,1993-01-18 00:00:00,,,,,,,,,,,,,8.52992,7.65,8.01,9.3,4.5,,10.25,,,,5.779
,,1993-01-19 00:00:00,,,,,,,,,,,,,8.62,7.65,7.98,9.2,4.54,,10.16,,,,5.819
,,1993-01-20 00:00:00,,,,,,,,,,,,,8.56992,7.65,8.05,9.2,4.55,,10.25,,,,5.83
,,1993-01-21 00:00:00,,,,,,,,,,,,,8.7,7.85,8.08,9.2,4.57,,10.25,,,,5.789
,,1993-01-22 00:00:00,,,,,,,,,,,,,8.60003,7.75,8.22,9.2,4.51,,10.22,,,,5.734
,,1993-01-25 00:00:00,,,,,,,,,,,,,8.62,7.7,8.19,9.2,4.51,,10.2,,,,5.661
,,1993-01-26 00:00:00,,,,,,,,,,,,,8.62,7.75,8.14,9.2,4.51,,10.15,,,,5.741
,,1993-01-27 00:00:00,,,,,,,,,,,,,8.52993,7.75,8.16,9.15,4.5,,10.2,,,,5.679
,,1993-01-28 00:00:00,,,,,,,,,,,,,8.43,7.75,8.1,9.15,4.5,,10.3,,,,5.571
,,1993-01-29 00:00:00,,,,,,,,,,,,,8.4499,7.7,8.02,9.15,4.5,,10.35,,,,5.549
,,1993-02-01 00:00:00,,,,,,,,,,,,,8.54,7.7,8,9.15,4.5,,10.35,,,,5.553
,,1993-02-02 00:00:00,,,,,,,,,,,,,8.52,7.65,8.03,9.15,4.44,,10.32,,,,5.618
,,1993-02-03 00:00:00,,,,,,,,,,,,,8.54,7.65,7.99,8.9,4.5,,10.27,,,,5.6
,,1993-02-04 00:00:00,,,,,,,,,,,,,8.47001,7.65,7.99,8.9,4.5,,10.15,,,,5.527
,,1993-02-05 00:00:00,,,,,,,,,,,,,8.55,7.6,7.94,8.9,4.42,,9.93,,,,5.429
,,1993-02-08 00:00:00,,,,,,,,,,,,,8.65991,7.6,7.82,8.85,4.42,,9.75,,,,5.502
,,1993-02-09 00:00:00,,,,,,,,,,,,,8.64,7.6,7.86,8.85,4.37,,9.75,,,,5.541
,,1993-02-10 00:00:00,,,,,,,,,,,,,8.47991,7.6,7.9,8.85,4.37,,9.65,,,,5.621
,,1993-02-11 00:00:00,,,,,,,,,,,,,8.52,7.6,7.9,8.85,4.37,,9.65,,,,5.556
,,1993-02-12 00:00:00,,,,,,,,,,,,,8.42002,7.6,7.82,8.85,4.37,,9.65,,,,5.617
,,1993-02-15 00:00:00,,,,,,,,,,,,,8.4,7.6,7.73,8.85,4.37,,9.55,,,,5.537
,,1993-02-16 00:00:00,,,,,,,,,,,,,8.32992,7.55,7.66,8.95,4.37,,9.5,,,,5.501
,,1993-02-17 00:00:00,,,,,,,,,,,,,8.32,7.6,7.78,8.5,4.36,,9.5,,,,5.406
,,1993-02-18 00:00:00,,,,,,,,,,,,,8.31002,7.65,7.71,8.5,4.34,,9.35,,,,5.244
,,1993-02-19 00:00:00,,,,,,,,,,,,,8.21,7.6,7.6,8.5,4.34,,9.15,,,,5.276
